WELCOME SUBMITTERS and THANK YOU! Please add newly discovered CDs with Pre-Emphasis to the top or bottom rows of the table.  An Editor will review your submission.,,,,,,,,,,,,,,,,,,,,,,,,,
Contents of this table courtesy of many dedicated CD music fans & members at Steve Hoffman forum,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,ARTIST,RELEASE TITLE,LABEL,CATALOG ID#,CTRY MFR,CTRY MKT,MFR,MATRIX,PE FLAG,Submitter,NOTES,Discogs URL,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,Willie Nelson,Angel Eyes,CBS/Sony,35DP 150,,,,35DP-150 11A3 +++++,,jfeldt,"JASRAC 3/4 black face,  inner ring: CSR COMPACT DISC 3x",,,,,,,,,,,,,,
add >,(Compilation),Reference Classics,Reference Recordings,RR-S1CD,,,"DISC MFG, INC.","W.O. # 20000T-3 RR S1CD DISC MFG., INC. (A1)",SUBQ,jfeldt,only track 8 and 20 have PE,,,,,,,,,,,,,,
add >,The Chick Corea Elektric Band,Eye of the Beholder,GRP Digital,VDJ-1146,,,Victor Musical Industries Inc,VDJ-1146-1 A1C 2 tetris blocks,SUBQ,jfeldt,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
add >,,,,,,,,,,,,,,,,,,,,,,,,,
,Bruno Walter/Columbia Symphony Orchestra,Brahms: Symphony No.3,Columbia,MK 42022,,,,,Unknown,Downsampled,Columbia MK 42022 / 35DC 87,,,,,,,,,,,,,,
,Bruno Walter/Columbia Symphony Orchestra,Bruckner: Symphony No.4,CBS/Sony,35DC 117,JP,JP,,,Unknown,Downsampled,CBS/Sony 35DC 117,,,,,,,,,,,,,,
,Bruno Walter/Columbia Symphony Orchestra,Bruckner: Symphony No.9,CBS/Sony,35DC 114,JP,JP,,,Unknown,Downsampled,CBS/Sony 35DC 114,,,,,,,,,,,,,,
,Bruno Walter/New York Philharmonic Orchestra,Mahler: Symphony No.2,CBS/Sony,56DC131~132,JP,JP,,,Unknown,Downsampled,"2CD, CBS/Sony 56DC131~132",,,,,,,,,,,,,,
,Canadian Brass,Brass in Berlin (w/ Berlin Philharmonic Brass),CBS Masterworks,"MK 39035, DIDC 20036",JP,US,Sony,DIDC-20036 11,TOC,Blue Gecko,Neat Font Reverse--CSR-3X Hub,,,,,,,,,,,,,,
,Canadian Brass,Brass in Berlin (w/ Berlin Philharmonic Brass),CBS Masterworks,"MK 39035, DIDC 20036",JP,US,Sony,DIDC-20036 21A1 +++++,SUBQ,Blue Gecko,Neat Font Reverse--CSR-3X Hub,,,,,,,,,,,,,,
,Carpenters,Voice of the Heart,A&M,,JP,JP,Alfa,38XB-4 11A3,SUBQ,Cuyler,1983.0,,,,,,,,,,,,,,
,Casiopea,Photographs,,32XA-111,,,,,TOC,,1987.0,,,,,,,,,,,,,,
,Casiopea,Photographs,,38XA-3,,,,,SUBQ,,1983.0,,,,,,,,,,,,,,
,Cecile Licad,"Rachmaninoff, Piano Concerto No. 2",CBS Masterworks,"MK 38672, DIDC 20014",US,US,DADC,DIDC 20014 31,TOC,Blue Gecko,,,,,,,,,,,,,,,
,"Cecile Licad piano, Claudio Abbado dir","Rachmaninoff - ""Concerto 2 & Rhapsody on a Theme of Paganini""",CBS Masterworks,MK 38672,,,,DIDC 20014 101A5 +++++,SUBQ,SimonSaysCake,"CSR COMPACT DISC"" x 3, UPC: 07464386722",,,,,,,,,,,,,,
,Charles Mackerras,"Mozart, Eine Kleine Nachtmusik",Telarc,CD-80108,JP,US,Matsushita,TEL CD-80108 4,SUBQ,Blue Gecko,Wide Font Reverse--Blank Hub,,,,,,,,,,,,,,
,Charles Mackerras,"Mozart, Eine Kleine Nachtmusik",Telarc,CD-80108,JP,US,Matsushita,TEL CD-80108 5,SUBQ,Blue Gecko,Wide Font Reverse--Blank Hub,,,,,,,,,,,,,,
,Charles Mackerras/Prague Chamber Orchestra,Mozart: Eine Kleine Nachtmusik 'Posthorn' Serenade,,,,,DADC,DIDX 1404 21A1,TOC,Downsampled,DADC; pre-emphasis. DIDX 1404 21A1 neat font; DADC center hub; pre-emphasis flags in TOC,,,,,,,,,,,,,,
,Charles Mingus,Mingus,Candid Records,CD 9021,WG,,P+O Pallas,,TOC,SimonSaysCake,,,,,,,,,,,,,,,
,Charley Olsen,The Organ Concert at Our Saviour's Church,Denon,38C37-7015,JP,JP,Denon,7015 A-1Y,SUBQ,Blue Gecko,Large Stamped Font,,,,,,,,,,,,,,
,Chi,Pacific Rim,,CDJ 677,,,Discovery,,TOC,Downsampled,1988 CDJ 677 (matrix MADE BY DISCOVERY SYSTEMS - AN AMERICAN COMPANY 3LX0300a) (TOC),,,,,,,,,,,,,,
,Chiemi Hori,Best/ ~Umareta toki kara~,Canyon Records,D50A0059,,,,D50A-0059-1 11 +++++,TOC,Downsampled,"1985, Canyon D50A0059 Both CSRx3 matrixes D50A-0059-1 11 +++++ and D50A-0059-2 11 +++++ (TOC)",,,,,,,,,,,,,,
